Class,Course,Title,Section,Type,Days,Time,Room,Location,Instructor (*) Additional Instructor,Status
14553,AAS 100LEC,Intro African American Studies,A,LEC,T R, 11:00 AM - 12:20 PM,Talbrt 106,North Campus, * Ponzo,Open
16591,AAS 117SEM,Hip Hop And Social Issues,MOP,SEM,T R, 2:00 PM - 3:20 PM,Cfa 144,North Campus, Ogunbowale,Closed
20668,AAS 128SEM,Public Policies&social Justice,JPO,SEM,T R, 12:30 PM - 1:50 PM,Talbrt 106,North Campus, * Ponzo,Open
20837,AAS 199SEM,"Ub Seminar-The American Image:Art, Media",NEZ,SEM,M W F, 11:00 AM - 11:50 AM,Talbrt 111,North Campus, Zarragoitia,Open w/ Reserves
17511,AAS 199SEM,Ub Seminar-The African American Artist,ZAR,SEM,M W F, 9:00 AM - 9:50 AM,Talbrt 111,North Campus, Zarragoitia,Open w/ Reserves
17985,AAS 254LEC,Race In Films,LUL,LEC,M, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
15023,AAS 261LEC,African American History,B,LEC,T R, 3:30 PM - 4:50 PM,Capen 109,North Campus, Ponzo,Open
23481,AAS 270LEC,Maj Issues Carib Studies,CEN,LEC,M W, 2:00 PM - 3:20 PM,Park 250,North Campus, Centrie,Open
17984,AAS 280LEC,Survey Of African Studies,GUI,LEC,M W F, 10:00 AM - 10:50 AM,Talbrt 106,North Campus, Fagbohunlu,Open
20673,AAS 293SEM,"Race, Law & Society",LUL,SEM,W, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
21548,AAS 314SEM,Black Philosophy,FOS,SEM,T R, 9:30 AM - 10:50 AM,Talbrt 106,North Campus, Foster,Open
17090,AAS 414SEM,Health Prob Black Commun,DPT,SEM,M W, 5:00 PM - 6:20 PM,Clemen 04,North Campus, Pierce-Tate,Open
21536,AAS 460SEM,Black Women In Us History,MOP,SEM,R, 4:10 PM - 6:50 PM,Clemen 1004,North Campus, Ogunbowale,Open
12597,AAS 499TUT,Independent Study,A,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11118,AAS 499TUT,Independent Study,B,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11921,AAS 499TUT,Independent Study,C,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
13868,AAS 499TUT,Independent Study,KGR,TUT,TBA, TBA,Clemen 1010,North Campus, Griffler,Open w/ Reserves
11923,AAS 499TUT,Independent Study,LUL,TUT,TBA, TBA,Clemen 1010,North Campus, Lulat,Open w/ Reserves
12865,AAS 499TUT,Independent Study,STA,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11544,AAS 499TUT,Independent Study,STF,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
16091,ASL 102LEC,First Year American Sign Langu,A,LEC,M W, 12:30 PM - 2:35 PM,Park 148,North Campus, Ackerman,Closed
16092,ASL 102LEC,First Year American Sign Langu,B,LEC,T R, 9:30 AM - 11:35 AM,Park 148,North Campus, Ackerman,Open
19758,ASL 102LEC,First Year American Sign Langu,C,LEC,T R, 12:30 PM - 2:35 PM,Park 148,North Campus, Ackerman,Open
16093,ASL 102LEC,First Year American Sign Langu,D,LEC,T R, 3:30 PM - 5:35 PM,Park 148,North Campus, Ackerman,Open
20675,ASL 102LEC,First Year American Sign Langu,E,LEC,M W, 9:30 AM - 11:35 AM,Bell 138,North Campus, Williams,Open
18773,ASL 102LEC,First Year American Sign Langu,F,LEC,M W, 12:30 PM - 2:35 PM,Bell 138,North Campus, Williams,Closed
16094,ASL 102LEC,First Year American Sign Langu,G,LEC,T R, 2:00 PM - 4:05 PM,Bell 138,North Campus, Williams,Closed
18774,ASL 102LEC,First Year American Sign Langu,H,LEC,M W, 11:00 AM - 1:05 PM,Park 152,North Campus, Brightman,Closed
19204,ASL 102LEC,First Year American Sign Langu,I,LEC,M W, 2:00 PM - 4:05 PM,Park 152,North Campus, Brightman,Closed
19205,ASL 102LEC,First Year American Sign Langu,J,LEC,T R, 9:30 AM - 11:35 AM,Park 152,North Campus, Brightman,Open
20674,ASL 102LEC,First Year American Sign Langu,K,LEC,M W, 5:00 PM - 7:05 PM,Park 148,North Campus, Dray,Open
21739,ASL 102LEC,First Year American Sign Langu,L,LEC,T R, 5:00 PM - 7:05 PM,Park 152,North Campus, Dray,Open
23325,ASL 102LEC,First Year American Sign Langu,M,LEC,T R, 8:00 PM - 10:05 PM,Park 152,North Campus, Dray,Open
23326,ASL 102LEC,First Year American Sign Langu,N,LEC,TBA, TBA,Remote,Remote, Byrne,Closed
23327,ASL 102LEC,First Year American Sign Langu,O,LEC,TBA, TBA,Remote,Remote, Byrne,Closed
16628,ASL 204LEC,Second Year American Sign Lang,A,LEC,T R, 12:30 PM - 1:50 PM,Bell 138,North Campus, Williams  * Brightman,Open
18775,ASL 211LEC,Introduction To Deaf Studies,A,LEC,TBA, TBA,Remote,Remote, Byrne,Open
20676,ASL 411LEC,Asl Linguistics,A,LEC,M W, 9:30 AM - 10:50 AM,Park 148,North Campus, Ackerman,Open
19724,AMS 107LEC,Intro American Studies,A,LEC,T R, 11:00 AM - 12:20 PM,Baldy 126,North Campus, Novak,Open
18941,AMS 111SEM,Hip Hop And Social Issues,MOP,SEM,T R, 2:00 PM - 3:20 PM,Cfa 144,North Campus, Ogunbowale,Open
20802,AMS 293SEM,"Race, Law & Society",LUL,SEM,W, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
20609,AMS 325SEM,Contemp Afro-Carib Religion,CEN,SEM,M W, 12:00 PM - 1:20 PM,Baldy 110,North Campus, Centrie,Open
23505,AMS 335LEC,Women Writers,SBF,LEC,T R, 2:00 PM - 3:20 PM,Talbrt 112,North Campus, Beckford-Foster,Open
11320,AMS 499TUT,Independent Study,A,TUT,TBA, TBA,ARR,Arranged, Beckford-Foster,Open w/ Reserves
11017,AMS 499TUT,Independent Study,B,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10845,AMS 499TUT,Independent Study,C,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12820,AMS 499TUT,Independent Study,CEN,TUT,TBA, TBA,ARR,Arranged, Centrie,Open w/ Reserves
10725,AMS 499TUT,Independent Study,D,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
13622,AMS 499TUT,Independent Study,E,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10734,AMS 499TUT,Independent Study,F,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12877,AMS 499TUT,Independent Study,G,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12416,AMS 499TUT,Independent Study,GRI,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
11906,AMS 499TUT,Independent Study,MAC,TUT,TBA, TBA,ARR,Arranged, Mccarthy,Open w/ Reserves
11773,AMS 499TUT,Independent Study,STA,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10830,AMS 499TUT,Independent Study,T,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
